Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"A-B线电压","DB171.DBD310",Float,1,R/W,100,,,,,,,,,,"",
"A-C线电压","DB171.DBD318",Float,1,R/W,100,,,,,,,,,,"",
"A相电流","DB171.DBD298",Float,1,R/W,100,,,,,,,,,,"",
"A相电压","DB171.DBD286",Float,1,R/W,100,,,,,,,,,,"",
"B相电流","DB171.DBD302",Float,1,R/W,100,,,,,,,,,,"",
"B相电压","DB171.DBD290",Float,1,R/W,100,,,,,,,,,,"",
"C-B线电压","DB171.DBD314",Float,1,R/W,100,,,,,,,,,,"",
"C相电流","DB171.DBD306",Float,1,R/W,100,,,,,,,,,,"",
"C相电压","DB171.DBD294",Float,1,R/W,100,,,,,,,,,,"",
"DB170备用10","DB170.DBX1.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用11","DB170.DBX1.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用12","DB170.DBX1.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用13","DB170.DBX1.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用14","DB170.DBX1.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用15","DB170.DBX1.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用16","DB170.DBX1.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用2","DB170.DBX0.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用3","DB170.DBX0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用4","DB170.DBX0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用5","DB170.DBX0.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用6","DB170.DBX0.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用7","DB170.DBX0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用8","DB170.DBX0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DB170备用9","DB170.DBX1.0",Boolean,1,R/W,100,,,,,,,,,,"",
"Y轴平移到装配位","DB170.DBX2.1",Boolean,1,R/W,100,,,,,,,,,,"",
"Z轴升降到装配位","DB170.DBX2.2",Boolean,1,R/W,100,,,,,,,,,,"",
"不合格计数","DB171.DBW8",Word,1,R/W,100,,,,,,,,,,"",
"不合格继续拧紧按钮","DB170.DBX3.0",Boolean,1,R/W,100,,,,,,,,,,"",
"当前组合有功总电能","DB171.DBD166",Float,1,R/W,100,,,,,,,,,,"",
"定心机构工件放到位","DB171.DBX2.0",Boolean,1,R/W,100,,,,,,,,,,"",
"定心机构开始动作","DB171.DBX2.2",Boolean,1,R/W,100,,,,,,,,,,"",
"定心完成","DB171.DBX2.1",Boolean,1,R/W,100,,,,,,,,,,"",
"合格计数","DB171.DBW6",Word,1,R/W,100,,,,,,,,,,"",
"换型信号","DB170.DBX0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"开始定心","DB170.DBX2.0",Boolean,1,R/W,100,,,,,,,,,,"",
"拧紧升降轴拧紧位","DB170.DBX2.4",Boolean,1,R/W,100,,,,,,,,,,"",
"拧紧升降轴原位","DB170.DBX2.5",Boolean,1,R/W,100,,,,,,,,,,"",
